Benchmark                                                Mode  Cnt         Score         Error  Units
Distinct.distinct_90_percentage_100000_rec_sequence_opt  avgt   25  15508219.106 ± 1324776.193  ns/op
Distinct.distinct_90_percentage_100000_rec_stream        avgt   25  14596751.275 ±  773025.186  ns/op
Distinct.distinct_90_percentage_10000_rec_collection     avgt   25    306879.929 ±    8845.839  ns/op
Distinct.distinct_90_percentage_10000_rec_sequence       avgt   25    305651.074 ±    5455.597  ns/op
Distinct.distinct_90_percentage_10000_rec_sequence_opt   avgt   25    259808.503 ±    8134.716  ns/op
Distinct.distinct_90_percentage_10000_rec_stream         avgt   25    269791.426 ±    6773.331  ns/op
Distinct.distinct_90_percentage_10000_rec_collection     avgt   25    306879.929 ±    8845.839  ns/op
Distinct.distinct_90_percentage_10000_rec_sequence       avgt   25    305651.074 ±    5455.597  ns/op
Distinct.distinct_90_percentage_10000_rec_sequence_opt   avgt   25    259808.503 ±    8134.716  ns/op
Distinct.distinct_90_percentage_10000_rec_stream         avgt   25    269791.426 ±    6773.331  ns/op
Distinct.distinct_90_percentage_1000_rec_collection      avgt   25     26725.362 ±     749.702  ns/op
Distinct.distinct_90_percentage_1000_rec_sequence        avgt   25     25632.480 ±     626.645  ns/op
Distinct.distinct_90_percentage_1000_rec_sequence_opt    avgt   25     19799.458 ±     469.923  ns/op
Distinct.distinct_90_percentage_1000_rec_stream          avgt   25     21705.552 ±     453.268  ns/op
Distinct.distinct_90_percentage_100_rec_collection       avgt   25      2302.977 ±      71.578  ns/op
Distinct.distinct_90_percentage_100_rec_sequence         avgt   25      1963.976 ±      43.942  ns/op
Distinct.distinct_90_percentage_100_rec_sequence_opt     avgt   25      1432.106 ±      25.966  ns/op
Distinct.distinct_90_percentage_100_rec_stream           avgt   25      1710.942 ±      42.028  ns/op
Distinct.distinct_90_percentage_50000_rec_collection     avgt   25   2143666.553 ±   82288.707  ns/op
Distinct.distinct_90_percentage_50000_rec_sequence       avgt   25   2108197.134 ±   75081.193  ns/op
Distinct.distinct_90_percentage_50000_rec_sequence_opt   avgt   25   1797151.705 ±   65134.069  ns/op
Distinct.distinct_90_percentage_50000_rec_stream         avgt   25   1765470.861 ±   61043.023  ns/op
Drop.drop_10_percentage_100000_rec_collection            avgt   25   1326264.303 ±   95875.311  ns/op
Drop.drop_10_percentage_100000_rec_sequence              avgt   25    780191.338 ±   36860.504  ns/op
Drop.drop_10_percentage_100000_rec_stream                avgt   25    868442.621 ±   37887.154  ns/op
Drop.drop_10_percentage_10000_rec_collection             avgt   25    101071.061 ±    1906.460  ns/op
Drop.drop_10_percentage_10000_rec_sequence               avgt   25     66988.812 ±    2081.763  ns/op
Drop.drop_10_percentage_10000_rec_stream                 avgt   25     73113.189 ±    2500.832  ns/op
Drop.drop_10_percentage_1000_rec_collection              avgt   25      9912.644 ±     202.147  ns/op
Drop.drop_10_percentage_1000_rec_sequence                avgt   25      5924.810 ±      86.117  ns/op
Drop.drop_10_percentage_1000_rec_stream                  avgt   25      6061.223 ±     119.281  ns/op
Drop.drop_10_percentage_100_rec_collection               avgt   25       907.723 ±      24.091  ns/op
Drop.drop_10_percentage_100_rec_sequence                 avgt   25       434.192 ±       9.034  ns/op
Drop.drop_10_percentage_100_rec_stream                   avgt   25       511.207 ±       8.987  ns/op
Drop.drop_10_percentage_50000_rec_collection             avgt   25    510384.799 ±   11897.525  ns/op
Drop.drop_10_percentage_50000_rec_sequence               avgt   25    341185.422 ±   12859.135  ns/op
Drop.drop_10_percentage_50000_rec_stream                 avgt   25    334339.641 ±   12179.342  ns/op
Drop.drop_90_percentage_100000_rec_collection            avgt   25    657431.076 ±   22621.423  ns/op
Drop.drop_90_percentage_100000_rec_sequence              avgt   25    196206.413 ±    3622.924  ns/op
Drop.drop_90_percentage_100000_rec_stream                avgt   25    725778.725 ±   35701.578  ns/op
Drop.drop_90_percentage_10000_rec_collection             avgt   25     57284.661 ±    1031.094  ns/op
Drop.drop_90_percentage_10000_rec_sequence               avgt   25     16284.281 ±     631.354  ns/op
Drop.drop_90_percentage_100000_rec_stream                avgt   25    725778.725 ±   35701.578  ns/op
Drop.drop_90_percentage_10000_rec_collection             avgt   25     57284.661 ±    1031.094  ns/op
Drop.drop_90_percentage_10000_rec_sequence               avgt   25     16284.281 ±     631.354  ns/op
Drop.drop_90_percentage_10000_rec_stream                 avgt   25     59473.873 ±    3398.519  ns/op
Drop.drop_90_percentage_1000_rec_collection              avgt   25      5241.984 ±     272.561  ns/op
Drop.drop_90_percentage_1000_rec_sequence                avgt   25       997.394 ±      42.041  ns/op
Drop.drop_90_percentage_1000_rec_stream                  avgt   25      3393.775 ±      82.910  ns/op
Drop.drop_90_percentage_100_rec_collection               avgt   25       419.856 ±      10.433  ns/op
Drop.drop_90_percentage_100_rec_sequence                 avgt   25       156.127 ±       3.055  ns/op
Drop.drop_90_percentage_100_rec_stream                   avgt   25       263.418 ±       5.664  ns/op
Drop.drop_90_percentage_50000_rec_collection             avgt   25    296241.268 ±    7278.571  ns/op
Drop.drop_90_percentage_50000_rec_sequence               avgt   25     86170.335 ±    3875.886  ns/op
Drop.drop_90_percentage_50000_rec_stream                 avgt   25    203776.795 ±   13225.955  ns/op
Filter.filter_10_percentage_100000_rec_collection        avgt   25   1127232.167 ±   75552.987  ns/op
Filter.filter_10_percentage_100000_rec_sequence          avgt   25    783047.875 ±   40437.777  ns/op
Filter.filter_10_percentage_100000_rec_stream            avgt   25    563407.440 ±   32032.037  ns/op
Filter.filter_10_percentage_10000_rec_collection         avgt   25     70724.626 ±    2376.899  ns/op
Filter.filter_10_percentage_10000_rec_sequence           avgt   25     57738.429 ±    3985.952  ns/op
Filter.filter_10_percentage_10000_rec_stream             avgt   25     55707.751 ±    1703.446  ns/op
Filter.filter_10_percentage_1000_rec_collection          avgt   25      7246.126 ±     201.147  ns/op
Filter.filter_10_percentage_1000_rec_sequence            avgt   25      3413.284 ±      39.860  ns/op
Filter.filter_10_percentage_1000_rec_stream              avgt   25      4089.866 ±      82.097  ns/op
Filter.filter_10_percentage_100_rec_collection           avgt   25       469.835 ±      10.675  ns/op
Filter.filter_10_percentage_100_rec_sequence             avgt   25       320.170 ±      12.259  ns/op
Filter.filter_10_percentage_100_rec_stream               avgt   25       327.142 ±      20.410  ns/op
Filter.filter_10_percentage_50000_rec_collection         avgt   25    342168.830 ±   16252.523  ns/op
Filter.filter_10_percentage_50000_rec_sequence           avgt   25    244203.327 ±   15116.369  ns/op
Filter.filter_10_percentage_50000_rec_stream             avgt   25    204970.285 ±   14689.882  ns/op
Filter.filter_90_percentage_100000_rec_collection        avgt   25   1257312.869 ±  114617.474  ns/op
Filter.filter_90_percentage_100000_rec_sequence          avgt   25    737903.106 ±   25546.874  ns/op
Filter.filter_90_percentage_100000_rec_stream            avgt   25    798362.721 ±   33679.628  ns/op
Filter.filter_90_percentage_10000_rec_collection         avgt   25    120659.980 ±    3893.669  ns/op
Filter.filter_90_percentage_10000_rec_sequence           avgt   25     64597.582 ±    1871.927  ns/op
Filter.filter_90_percentage_10000_rec_stream             avgt   25     69409.827 ±    2169.632  ns/op
Filter.filter_90_percentage_1000_rec_collection          avgt   25     12304.635 ±     307.342  ns/op
Filter.filter_10_percentage_1000_rec_sequence            avgt   25      3413.284 ±      39.860  ns/op
Filter.filter_10_percentage_1000_rec_stream              avgt   25      4089.866 ±      82.097  ns/op
Filter.filter_10_percentage_100_rec_collection           avgt   25       469.835 ±      10.675  ns/op
Filter.filter_10_percentage_100_rec_sequence             avgt   25       320.170 ±      12.259  ns/op
Filter.filter_10_percentage_100_rec_stream               avgt   25       327.142 ±      20.410  ns/op
Filter.filter_10_percentage_50000_rec_collection         avgt   25    342168.830 ±   16252.523  ns/op
Filter.filter_10_percentage_50000_rec_sequence           avgt   25    244203.327 ±   15116.369  ns/op
Filter.filter_10_percentage_50000_rec_stream             avgt   25    204970.285 ±   14689.882  ns/op
Filter.filter_90_percentage_100000_rec_collection        avgt   25   1257312.869 ±  114617.474  ns/op
Filter.filter_90_percentage_100000_rec_sequence          avgt   25    737903.106 ±   25546.874  ns/op
Filter.filter_90_percentage_100000_rec_stream            avgt   25    798362.721 ±   33679.628  ns/op
Filter.filter_90_percentage_10000_rec_collection         avgt   25    120659.980 ±    3893.669  ns/op
Filter.filter_90_percentage_10000_rec_sequence           avgt   25     64597.582 ±    1871.927  ns/op
Filter.filter_90_percentage_10000_rec_stream             avgt   25     69409.827 ±    2169.632  ns/op
Filter.filter_90_percentage_1000_rec_collection          avgt   25     12304.635 ±     307.342  ns/op
Filter.filter_90_percentage_1000_rec_sequence            avgt   25      5293.128 ±     126.246  ns/op
Filter.filter_90_percentage_1000_rec_stream              avgt   25      5398.759 ±     217.069  ns/op
Filter.filter_90_percentage_100_rec_collection           avgt   25       967.652 ±      33.933  ns/op
Filter.filter_90_percentage_100_rec_sequence             avgt   25       423.048 ±      15.683  ns/op
Filter.filter_90_percentage_100_rec_stream               avgt   25       531.065 ±      15.026  ns/op
Filter.filter_90_percentage_50000_rec_collection         avgt   25    586529.020 ±   25723.578  ns/op
Filter.filter_90_percentage_50000_rec_sequence           avgt   25    311048.284 ±   14208.578  ns/op
Filter.filter_90_percentage_50000_rec_stream             avgt   25    321733.704 ±   13444.119  ns/op
Flatten.flatten_100000_rec_collection                    avgt   25  23493701.727 ± 1893012.256  ns/op
Flatten.flatten_100000_rec_sequence                      avgt   25  13988533.565 ±  662858.732  ns/op
Flatten.flatten_100000_rec_sequence_opt                  avgt   25  11335507.197 ±  726774.068  ns/op
Flatten.flatten_100000_rec_stream                        avgt   25  25990464.781 ± 1346689.366  ns/op
Flatten.flatten_10000_rec_collection                     avgt   25    968534.222 ±   43346.889  ns/op
Flatten.flatten_10000_rec_sequence                       avgt   25    415776.658 ±   11718.378  ns/op
Flatten.flatten_10000_rec_sequence_opt                   avgt   25    355540.937 ±   13967.050  ns/op
Flatten.flatten_10000_rec_stream                         avgt   25    851771.925 ±   30242.831  ns/op
Flatten.flatten_1000_rec_collection                      avgt   25     66108.746 ±    2473.019  ns/op
Flatten.flatten_1000_rec_sequence                        avgt   25     38188.433 ±     979.957  ns/op
Flatten.flatten_1000_rec_sequence_opt                    avgt   25     35513.036 ±    1097.964  ns/op
Flatten.flatten_1000_rec_stream                          avgt   25     88744.546 ±    2391.941  ns/op
Flatten.flatten_100_rec_collection                       avgt   25      6541.553 ±     143.599  ns/op
Flatten.flatten_100_rec_sequence                         avgt   25      3729.598 ±      69.712  ns/op
Flatten.flatten_100_rec_sequence_opt                     avgt   25      3549.892 ±     105.537  ns/op
Flatten.flatten_100_rec_stream                           avgt   25     10293.099 ±     368.670  ns/op
Flatten.flatten_50000_rec_collection                     avgt   25  10586444.577 ±  539961.839  ns/op
Flatten.flatten_50000_rec_sequence                       avgt   25   6095675.047 ± 3025415.127  ns/op
Flatten.flatten_50000_rec_sequence_opt                   avgt   25   3686424.042 ±  310288.083  ns/op
Flatten.flatten_50000_rec_stream                         avgt   25   8795615.791 ±  302292.140  ns/op
GroupBy.groupBy_10_percentage_100000_rec_collection      avgt   25   3768787.202 ±  339070.524  ns/op
GroupBy.groupBy_10_percentage_100000_rec_sequence        avgt   25   3811663.096 ±  234676.250  ns/op
GroupBy.groupBy_10_percentage_100000_rec_stream          avgt   25   5436086.144 ±  381961.495  ns/op
